state_name,district_name,crop_year,season,crop,area_,production_
Andhra Pradesh,ANANTAPUR,2000,Kharif,Ragi,6613.0,16923
Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905.0,117680
Andhra Pradesh,ANANTAPUR,2000,Kharif,Samai,21.0,5
Andhra Pradesh,ANANTAPUR,2000,Kharif,Sesamum,5.0,1
Andhra Pradesh,ANANTAPUR,2000,Kharif,Small millets,1647.0,1148
Andhra Pradesh,ANANTAPUR,2000,Kharif,Sunflower,30606.0,24590
Andhra Pradesh,ANANTAPUR,2000,Kharif,Urad,135.0,8
Andhra Pradesh,ANANTAPUR,2000,Rabi,Arhar/Tur,35.0,9
Andhra Pradesh,ANANTAPUR,2000,Rabi,Bajra,317.0,185
Andhra Pradesh,ANANTAPUR,2000,Rabi,Dry chillies,71.0,81
Andhra Pradesh,ANANTAPUR,2000,Rabi,Gram,33858.0,22685
Andhra Pradesh,ANANTAPUR,2000,Rabi,Groundnut,23048.0,23832
Andhra Pradesh,ANANTAPUR,2000,Rabi,Horse-gram,377.0,80
Andhra Pradesh,ANANTAPUR,2000,Rabi,Jowar,15242.0,16980
Andhra Pradesh,ANANTAPUR,2000,Rabi,Korra,96.0,67
Andhra Pradesh,ANANTAPUR,2000,Rabi,Linseed,8.0,2
Andhra Pradesh,ANANTAPUR,2000,Rabi,Maize,399.0,2148
Andhra Pradesh,ANANTAPUR,2000,Rabi,Onion,482.0,11514
Andhra Pradesh,ANANTAPUR,2000,Rabi,Ragi,909.0,1312
Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099.0,57236
Andhra Pradesh,ANANTAPUR,2000,Rabi,Safflower,703.0,129
Andhra Pradesh,ANANTAPUR,2000,Rabi,Small millets,96.0,67
Andhra Pradesh,ANANTAPUR,2000,Rabi,Urad,363.0,292
Andhra Pradesh,ANANTAPUR,2000,Rabi,Wheat,520.0,297
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Arecanut,252.0,696
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Banana,769.0,11693
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coconut,908.0,3896970
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coriander,8953.0,2266
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Potato,4.0,34
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Sugarcane,284.0,25395
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Sweet potato,28.0,379
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Tobacco,89.0,114
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Turmeric,39.0,272
Andhra Pradesh,ANANTAPUR,2001,Kharif,Arhar/Tur,27942.0,7628
Andhra Pradesh,ANANTAPUR,2001,Kharif,Bajra,1595.0,526
Andhra Pradesh,ANANTAPUR,2001,Kharif,Castor seed,3191.0,900
Andhra Pradesh,ANANTAPUR,2001,Kharif,Cotton(lint),8552.0,9055
Andhra Pradesh,ANANTAPUR,2001,Kharif,Dry chillies,3765.0,7127
Andhra Pradesh,ANANTAPUR,2001,Kharif,Gram,16.0,17
Andhra Pradesh,ANANTAPUR,2001,Kharif,Groundnut,758700.0,333828
Andhra Pradesh,ANANTAPUR,2001,Kharif,Horse-gram,649.0,60
Andhra Pradesh,ANANTAPUR,2001,Kharif,Jowar,3900.0,6720
Andhra Pradesh,ANANTAPUR,2001,Kharif,Korra,1434.0,627
Andhra Pradesh,ANANTAPUR,2001,Kharif,Maize,2667.0,7129
Andhra Pradesh,ANANTAPUR,2001,Kharif,Moong(Green Gram),1511.0,730
Andhra Pradesh,ANANTAPUR,2001,Kharif,Onion,1165.0,19232
Andhra Pradesh,ANANTAPUR,2001,Kharif,Other Kharif pulses,2496.0,324
Andhra Pradesh,ANANTAPUR,2001,Kharif,Ragi,5124.0,12405
Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878.0,95609
Andhra Pradesh,ANANTAPUR,2001,Kharif,Small millets,1434.0,627
Andhra Pradesh,ANANTAPUR,2001,Kharif,Sunflower,51610.0,33580
Andhra Pradesh,ANANTAPUR,2001,Kharif,Urad,487.0,176
Andhra Pradesh,ANANTAPUR,2001,Rabi,Arhar/Tur,5.0,1
Andhra Pradesh,ANANTAPUR,2001,Rabi,Bajra,27.0,9
Andhra Pradesh,ANANTAPUR,2001,Rabi,Dry chillies,108.0,168
Andhra Pradesh,ANANTAPUR,2001,Rabi,Gram,47894.0,50145
Andhra Pradesh,ANANTAPUR,2001,Rabi,Groundnut,18773.0,29192
Andhra Pradesh,ANANTAPUR,2001,Rabi,Horse-gram,417.0,226
Andhra Pradesh,ANANTAPUR,2001,Rabi,Jowar,15170.0,17446
Andhra Pradesh,ANANTAPUR,2001,Rabi,Linseed,5.0,1
Andhra Pradesh,ANANTAPUR,2001,Rabi,Maize,447.0,2893
Andhra Pradesh,ANANTAPUR,2001,Rabi,Moong(Green Gram),40.0,12
Andhra Pradesh,ANANTAPUR,2001,Rabi,Onion,380.0,8465
Andhra Pradesh,ANANTAPUR,2001,Rabi,Other  Rabi pulses,1.0,1
Andhra Pradesh,ANANTAPUR,2001,Rabi,Ragi,544.0,725
Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119.0,108906
Andhra Pradesh,ANANTAPUR,2001,Rabi,Safflower,3768.0,528
Andhra Pradesh,ANANTAPUR,2001,Rabi,Sesamum,2.0,1
Andhra Pradesh,ANANTAPUR,2001,Rabi,Urad,127.0,86
Andhra Pradesh,ANANTAPUR,2001,Rabi,Wheat,307.0,213
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Arecanut,257.0,430
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Banana,1582.0,462
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coconut,851.0,3053700
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coriander,4741.0,1119
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Sugarcane,490.0,42470
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Sweet potato,31.0,411
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Tobacco,111.0,111
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Turmeric,8.0,40
Andhra Pradesh,ANANTAPUR,2002,Kharif,Arhar/Tur,33454.0,6557
Andhra Pradesh,ANANTAPUR,2002,Kharif,Bajra,1925.0,581
Andhra Pradesh,ANANTAPUR,2002,Kharif,Castor seed,2050.0,416
Andhra Pradesh,ANANTAPUR,2002,Kharif,Cotton(lint),7638.0,7144
Andhra Pradesh,ANANTAPUR,2002,Kharif,Dry chillies,2737.0,6128
Andhra Pradesh,ANANTAPUR,2002,Kharif,Groundnut,732262.0,259953
Andhra Pradesh,ANANTAPUR,2002,Kharif,Horse-gram,947.0,140
Andhra Pradesh,ANANTAPUR,2002,Kharif,Jowar,2906.0,4545
Andhra Pradesh,ANANTAPUR,2002,Kharif,Korra,1000.0,100
Andhra Pradesh,ANANTAPUR,2002,Kharif,Maize,3541.0,3431
Andhra Pradesh,ANANTAPUR,2002,Kharif,Moong(Green Gram),1150.0,174
Andhra Pradesh,ANANTAPUR,2002,Kharif,Onion,776.0,8432
Andhra Pradesh,ANANTAPUR,2002,Kharif,Other Kharif pulses,490.0,47
Andhra Pradesh,ANANTAPUR,2002,Kharif,Ragi,5157.0,12140
Andhra Pradesh,ANANTAPUR,2002,Kharif,Rice,29066.0,66329
Andhra Pradesh,ANANTAPUR,2002,Kharif,Small millets,919.0,180
Andhra Pradesh,ANANTAPUR,2002,Kharif,Soyabean,51.0,.00
Andhra Pradesh,ANANTAPUR,2002,Kharif,Sunflower,60319.0,22149
Andhra Pradesh,ANANTAPUR,2002,Kharif,Urad,32.0,2
Andhra Pradesh,ANANTAPUR,2002,Rabi,Bajra,129.0,39
Andhra Pradesh,ANANTAPUR,2002,Rabi,Dry chillies,83.0,161
Andhra Pradesh,ANANTAPUR,2002,Rabi,Gram,54264.0,20186
Andhra Pradesh,ANANTAPUR,2002,Rabi,Groundnut,17529.0,18651
Andhra Pradesh,ANANTAPUR,2002,Rabi,Horse-gram,1859.0,688
Andhra Pradesh,ANANTAPUR,2002,Rabi,Jowar,12676.0,11497
Andhra Pradesh,ANANTAPUR,2002,Rabi,Linseed,8.0,2
Andhra Pradesh,ANANTAPUR,2002,Rabi,Maize,1288.0,8933
Andhra Pradesh,ANANTAPUR,2002,Rabi,Moong(Green Gram),4.0,1
Andhra Pradesh,ANANTAPUR,2002,Rabi,Onion,401.0,7192
Andhra Pradesh,ANANTAPUR,2002,Rabi,Ragi,417.0,517
Andhra Pradesh,ANANTAPUR,2002,Rabi,Rice,10960.0,20462
Andhra Pradesh,ANANTAPUR,2002,Rabi,Safflower,2594.0,340
Andhra Pradesh,ANANTAPUR,2002,Rabi,Small millets,10.0,2
Andhra Pradesh,ANANTAPUR,2002,Rabi,Urad,408.0,236
Andhra Pradesh,ANANTAPUR,2002,Rabi,Wheat,362.0,333
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Arecanut,263.0,379
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Banana,19.0,1006
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Beans & Mutter(Vegetable),1.0,5
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Bhindi,126.0,938
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Brinjal,1026.0,10162
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Citrus Fruit,788.0,4000
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Coconut,869.0,3691149
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Coriander,3914.0,481
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Cucumber,18.0,.00
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Grapes,111.0,2075
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Mango,3968.0,26176
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Orange,13767.0,112541
Andhra Pradesh,ANANTAPUR,2002,Whole Year,other fibres,132.0,.00
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Other Fresh Fruits,2418.0,1552
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Other Vegetables,1767.0,.00
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Papaya,1544.0,201409
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Pome Fruit,1207.0,62789
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Potato,2.0,17
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Sugarcane,329.0,22481
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Sweet potato,50.0,540
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Tobacco,51.0,90
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Tomato,3356.0,16627
Andhra Pradesh,ANANTAPUR,2003,Kharif,Arhar/Tur,41178.0,6959
Andhra Pradesh,ANANTAPUR,2003,Kharif,Bajra,2280.0,378
Andhra Pradesh,ANANTAPUR,2003,Kharif,Castor seed,1927.0,805
Andhra Pradesh,ANANTAPUR,2003,Kharif,Cotton(lint),4212.0,4262
Andhra Pradesh,ANANTAPUR,2003,Kharif,Dry chillies,2920.0,10702
Andhra Pradesh,ANANTAPUR,2003,Kharif,Groundnut,670935.0,187862
Andhra Pradesh,ANANTAPUR,2003,Kharif,Horse-gram,492.0,54
Andhra Pradesh,ANANTAPUR,2003,Kharif,Jowar,12487.0,30830
Andhra Pradesh,ANANTAPUR,2003,Kharif,Korra,1245.0,229
Andhra Pradesh,ANANTAPUR,2003,Kharif,Maize,6246.0,10718
Andhra Pradesh,ANANTAPUR,2003,Kharif,Moong(Green Gram),1216.0,662
Andhra Pradesh,ANANTAPUR,2003,Kharif,Onion,846.0,13250
Andhra Pradesh,ANANTAPUR,2003,Kharif,Other Kharif pulses,340.0,15
Andhra Pradesh,ANANTAPUR,2003,Kharif,Ragi,3353.0,3547
Andhra Pradesh,ANANTAPUR,2003,Kharif,Rice,17515.0,44891
Andhra Pradesh,ANANTAPUR,2003,Kharif,Samai,245.0,83
Andhra Pradesh,ANANTAPUR,2003,Kharif,Small millets,1420.0,299
Andhra Pradesh,ANANTAPUR,2003,Kharif,Soyabean,16.0,18
Andhra Pradesh,ANANTAPUR,2003,Kharif,Sunflower,74525.0,29572
Andhra Pradesh,ANANTAPUR,2003,Kharif,Urad,82.0,51
Andhra Pradesh,ANANTAPUR,2003,Rabi,Bajra,113.0,19
Andhra Pradesh,ANANTAPUR,2003,Rabi,Dry chillies,91.0,190
Andhra Pradesh,ANANTAPUR,2003,Rabi,Gram,51461.0,15438
Andhra Pradesh,ANANTAPUR,2003,Rabi,Groundnut,15060.0,19819
Andhra Pradesh,ANANTAPUR,2003,Rabi,Horse-gram,1560.0,844
Andhra Pradesh,ANANTAPUR,2003,Rabi,Jowar,21391.0,19444
Andhra Pradesh,ANANTAPUR,2003,Rabi,Linseed,7.0,2
Andhra Pradesh,ANANTAPUR,2003,Rabi,Maize,1212.0,6787
Andhra Pradesh,ANANTAPUR,2003,Rabi,Moong(Green Gram),22.0,7
Andhra Pradesh,ANANTAPUR,2003,Rabi,Onion,535.0,11180
Andhra Pradesh,ANANTAPUR,2003,Rabi,Other  Rabi pulses,17.0,3
Andhra Pradesh,ANANTAPUR,2003,Rabi,Ragi,614.0,986
Andhra Pradesh,ANANTAPUR,2003,Rabi,Rice,10826.0,25463
Andhra Pradesh,ANANTAPUR,2003,Rabi,Safflower,307.0,11
Andhra Pradesh,ANANTAPUR,2003,Rabi,Small millets,70.0,13
Andhra Pradesh,ANANTAPUR,2003,Rabi,Wheat,414.0,123
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Arecanut,266.0,189
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Banana,36.0,1302
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Bhindi,101.0,873
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Brinjal,1129.0,19414
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Citrus Fruit,706.0,11959
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Coconut,839.0,3285828
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Coriander,5646.0,610
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Cucumber,51.0,.00
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Grapes,118.0,2048
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Mango,3935.0,58337
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Orange,13441.0,224640
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Other Fresh Fruits,3241.0,3586
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Other Vegetables,1783.0,.00
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Papaya,1381.0,60038
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Pome Fruit,1466.0,83767
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Sugarcane,454.0,32386
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Sweet potato,30.0,217
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Tobacco,20.0,25
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Tomato,2827.0,17509
Andhra Pradesh,ANANTAPUR,2004,Kharif,Arhar/Tur,32752.0,7893
Andhra Pradesh,ANANTAPUR,2004,Kharif,Bajra,1021.0,403
Andhra Pradesh,ANANTAPUR,2004,Kharif,Castor seed,1578.0,923
Andhra Pradesh,ANANTAPUR,2004,Kharif,Cotton(lint),8933.0,7041
Andhra Pradesh,ANANTAPUR,2004,Kharif,Dry chillies,3402.0,11288
Andhra Pradesh,ANANTAPUR,2004,Kharif,Groundnut,857823.0,684543
Andhra Pradesh,ANANTAPUR,2004,Kharif,Horse-gram,421.0,121
Andhra Pradesh,ANANTAPUR,2004,Kharif,Jowar,4300.0,5693
Andhra Pradesh,ANANTAPUR,2004,Kharif,Maize,3495.0,10031
Andhra Pradesh,ANANTAPUR,2004,Kharif,Moong(Green Gram),1464.0,545
Andhra Pradesh,ANANTAPUR,2004,Kharif,Onion,1324.0,24824
Andhra Pradesh,ANANTAPUR,2004,Kharif,Other Kharif pulses,1605.0,172
Andhra Pradesh,ANANTAPUR,2004,Kharif,Ragi,3166.0,5860
Andhra Pradesh,ANANTAPUR,2004,Kharif,Rice,24335.0,85051
Andhra Pradesh,ANANTAPUR,2004,Kharif,Small millets,661.0,307
Andhra Pradesh,ANANTAPUR,2004,Kharif,Soyabean,1131.0,691
Andhra Pradesh,ANANTAPUR,2004,Kharif,Sunflower,56819.0,34209
Andhra Pradesh,ANANTAPUR,2004,Kharif,Urad,76.0,37
Andhra Pradesh,ANANTAPUR,2004,Rabi,Bajra,62.0,24
Andhra Pradesh,ANANTAPUR,2004,Rabi,Dry chillies,155.0,754
Andhra Pradesh,ANANTAPUR,2004,Rabi,Gram,42106.0,9516
Andhra Pradesh,ANANTAPUR,2004,Rabi,Groundnut,14500.0,21736
Andhra Pradesh,ANANTAPUR,2004,Rabi,Horse-gram,226.0,30
Andhra Pradesh,ANANTAPUR,2004,Rabi,Jowar,11871.0,14269
Andhra Pradesh,ANANTAPUR,2004,Rabi,Linseed,34.0,4
Andhra Pradesh,ANANTAPUR,2004,Rabi,Maize,3572.0,25822
Andhra Pradesh,ANANTAPUR,2004,Rabi,Moong(Green Gram),3.0,1
Andhra Pradesh,ANANTAPUR,2004,Rabi,Onion,234.0,4830
Andhra Pradesh,ANANTAPUR,2004,Rabi,Ragi,397.0,897
Andhra Pradesh,ANANTAPUR,2004,Rabi,Rice,9240.0,21622
Andhra Pradesh,ANANTAPUR,2004,Rabi,Safflower,186.0,10
Andhra Pradesh,ANANTAPUR,2004,Rabi,Small millets,36.0,17
Andhra Pradesh,ANANTAPUR,2004,Rabi,Sunflower,27228.0,9530
Andhra Pradesh,ANANTAPUR,2004,Rabi,Wheat,393.0,88
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Banana,324.0,16897
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Coconut,837.0,6413350
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Coriander,2439.0,290
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Potato,2.0,20
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Sugarcane,400.0,34072
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Sweet potato,33.0,68
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Tobacco,49.0,53
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Turmeric,4.0,36
Andhra Pradesh,ANANTAPUR,2005,Kharif,Arhar/Tur,35013.0,23704
Andhra Pradesh,ANANTAPUR,2005,Kharif,Bajra,993.0,1888
Andhra Pradesh,ANANTAPUR,2005,Kharif,Castor seed,2081.0,1521
Andhra Pradesh,ANANTAPUR,2005,Kharif,Cotton(lint),3295.0,3450
Andhra Pradesh,ANANTAPUR,2005,Kharif,Dry chillies,2178.0,6175
Andhra Pradesh,ANANTAPUR,2005,Kharif,Groundnut,877029.0,362213
Andhra Pradesh,ANANTAPUR,2005,Kharif,Horse-gram,410.0,107
Andhra Pradesh,ANANTAPUR,2005,Kharif,Jowar,3759.0,3879
Andhra Pradesh,ANANTAPUR,2005,Kharif,Maize,5958.0,21538
Andhra Pradesh,ANANTAPUR,2005,Kharif,Moong(Green Gram),1078.0,747
Andhra Pradesh,ANANTAPUR,2005,Kharif,Onion,985.0,17025
Andhra Pradesh,ANANTAPUR,2005,Kharif,Other Kharif pulses,1429.0,301
Andhra Pradesh,ANANTAPUR,2005,Kharif,Ragi,2303.0,4394
Andhra Pradesh,ANANTAPUR,2005,Kharif,Rice,25008.0,69972
Andhra Pradesh,ANANTAPUR,2005,Kharif,Small millets,854.0,455
Andhra Pradesh,ANANTAPUR,2005,Kharif,Soyabean,421.0,232
Andhra Pradesh,ANANTAPUR,2005,Kharif,Urad,69.0,24
Andhra Pradesh,ANANTAPUR,2005,Rabi,Bajra,66.0,125
Andhra Pradesh,ANANTAPUR,2005,Rabi,Dry chillies,58.0,214
Andhra Pradesh,ANANTAPUR,2005,Rabi,Gram,49105.0,48172
Andhra Pradesh,ANANTAPUR,2005,Rabi,Groundnut,22006.0,29752
Andhra Pradesh,ANANTAPUR,2005,Rabi,Horse-gram,205.0,77
Andhra Pradesh,ANANTAPUR,2005,Rabi,Jowar,12931.0,9970
Andhra Pradesh,ANANTAPUR,2005,Rabi,Linseed,29.0,11
Andhra Pradesh,ANANTAPUR,2005,Rabi,Maize,1435.0,10721
Andhra Pradesh,ANANTAPUR,2005,Rabi,Moong(Green Gram),16.0,5
Andhra Pradesh,ANANTAPUR,2005,Rabi,Onion,381.0,9063
Andhra Pradesh,ANANTAPUR,2005,Rabi,Ragi,472.0,752
Andhra Pradesh,ANANTAPUR,2005,Rabi,Rice,23142.0,55587
Andhra Pradesh,ANANTAPUR,2005,Rabi,Safflower,162.0,33
Andhra Pradesh,ANANTAPUR,2005,Rabi,Urad,11.0,7
Andhra Pradesh,ANANTAPUR,2005,Rabi,Wheat,297.0,175
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Arecanut,268.0,214
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Banana,303.0,16231
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Coconut,836.0,3358992
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Coriander,2962.0,900
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Sugarcane,227.0,20612
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Sunflower,48677.0,8401
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Sweet potato,23.0,121
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Tobacco,1.0,1
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Turmeric,2.0,15
Andhra Pradesh,ANANTAPUR,2006,Kharif,Arhar/Tur,26244.0,3543
Andhra Pradesh,ANANTAPUR,2006,Kharif,Bajra,620.0,189
Andhra Pradesh,ANANTAPUR,2006,Kharif,Castor seed,899.0,451
Andhra Pradesh,ANANTAPUR,2006,Kharif,Cotton(lint),1506.0,1940
Andhra Pradesh,ANANTAPUR,2006,Kharif,Dry chillies,1754.0,5658
Andhra Pradesh,ANANTAPUR,2006,Kharif,Groundnut,644007.0,43148
Andhra Pradesh,ANANTAPUR,2006,Kharif,Horse-gram,1021.0,182
Andhra Pradesh,ANANTAPUR,2006,Kharif,Jowar,18043.0,7813
Andhra Pradesh,ANANTAPUR,2006,Kharif,Maize,4877.0,20181
Andhra Pradesh,ANANTAPUR,2006,Kharif,Moong(Green Gram),788.0,98
Andhra Pradesh,ANANTAPUR,2006,Kharif,Onion,869.0,9423
Andhra Pradesh,ANANTAPUR,2006,Kharif,Other Kharif pulses,742.0,135
Andhra Pradesh,ANANTAPUR,2006,Kharif,Ragi,2035.0,3696
Andhra Pradesh,ANANTAPUR,2006,Kharif,Rice,22349.0,67427
Andhra Pradesh,ANANTAPUR,2006,Kharif,Small millets,450.0,48
Andhra Pradesh,ANANTAPUR,2006,Kharif,Urad,69.0,26
Andhra Pradesh,ANANTAPUR,2006,Rabi,Bajra,141.0,43
Andhra Pradesh,ANANTAPUR,2006,Rabi,Dry chillies,10.0,37
Andhra Pradesh,ANANTAPUR,2006,Rabi,Gram,83533.0,30739
Andhra Pradesh,ANANTAPUR,2006,Rabi,Groundnut,18104.0,18991
Andhra Pradesh,ANANTAPUR,2006,Rabi,Horse-gram,1779.0,882
Andhra Pradesh,ANANTAPUR,2006,Rabi,Jowar,24944.0,15440
Andhra Pradesh,ANANTAPUR,2006,Rabi,Linseed,15.0,4
Andhra Pradesh,ANANTAPUR,2006,Rabi,Maize,3120.0,23640
Andhra Pradesh,ANANTAPUR,2006,Rabi,Moong(Green Gram),139.0,52
Andhra Pradesh,ANANTAPUR,2006,Rabi,Onion,167.0,4075
Andhra Pradesh,ANANTAPUR,2006,Rabi,Ragi,386.0,532
Andhra Pradesh,ANANTAPUR,2006,Rabi,Rice,10846.0,31974
Andhra Pradesh,ANANTAPUR,2006,Rabi,Safflower,72.0,28
Andhra Pradesh,ANANTAPUR,2006,Rabi,Urad,24.0,19
Andhra Pradesh,ANANTAPUR,2006,Rabi,Wheat,190.0,50
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Arecanut,217.0,150
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Banana,289.0,14141
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Coconut,790.0,6404076
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Coriander,1389.0,385
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Sugarcane,339.0,30937
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Sunflower,60751.0,23561
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Sweet potato,25.0,137
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Turmeric,1.0,8
Andhra Pradesh,ANANTAPUR,2007,Kharif,Arhar/Tur,37000.0,17000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Bajra,1000.0,3000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Castor seed,2000.0,1000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Cotton(lint),3000.0,2000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Dry chillies,2000.0,9000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Groundnut,876000.0,1102000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Jowar,4000.0,3000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Maize,7000.0,32000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Moong(Green Gram),1000.0,NA
Andhra Pradesh,ANANTAPUR,2007,Kharif,Onion,2000.0,38000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Ragi,2000.0,4000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Rice,30000.0,95000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Sunflower,19000.0,10000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Gram,75000.0,78000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Groundnut,21000.0,28000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Horse-gram,1000.0,NA
Andhra Pradesh,ANANTAPUR,2007,Rabi,Jowar,12000.0,8000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Maize,6000.0,48000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Rice,14000.0,37000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Sunflower,26000.0,20000
Andhra Pradesh,ANANTAPUR,2008,Kharif,Arhar/Tur,34067.0,13150
Andhra Pradesh,ANANTAPUR,2008,Kharif,Bajra,743.0,1011
Andhra Pradesh,ANANTAPUR,2008,Kharif,Castor seed,886.0,668
Andhra Pradesh,ANANTAPUR,2008,Kharif,Cotton(lint),1611.0,1241
Andhra Pradesh,ANANTAPUR,2008,Kharif,Dry chillies,1574.0,5506
Andhra Pradesh,ANANTAPUR,2008,Kharif,Groundnut,853577.0,75115
Andhra Pradesh,ANANTAPUR,2008,Kharif,Horse-gram,295.0,165
Andhra Pradesh,ANANTAPUR,2008,Kharif,Jowar,1782.0,2204
Andhra Pradesh,ANANTAPUR,2008,Kharif,Maize,6041.0,20896
Andhra Pradesh,ANANTAPUR,2008,Kharif,Moong(Green Gram),629.0,245
Andhra Pradesh,ANANTAPUR,2008,Kharif,Onion,1376.0,23531
Andhra Pradesh,ANANTAPUR,2008,Kharif,Other Kharif pulses,60.0,30
Andhra Pradesh,ANANTAPUR,2008,Kharif,Ragi,1460.0,3678
Andhra Pradesh,ANANTAPUR,2008,Kharif,Rice,30306.0,94615
Andhra Pradesh,ANANTAPUR,2008,Kharif,Small millets,112.0,88
Andhra Pradesh,ANANTAPUR,2008,Kharif,Soyabean,182.0,248
